paper_id,strategy_id,status,play_type,selection,model_prob,odds,ev,advantage_rate,data_quality_score,risk_tags,paper_stake,is_hit,paper_profit
161,candidate_strategy_v1,observation_only,spf,D,0.2958005851714488,3.4,0.005721989582925913,0.005721989582925913,85.0,赔率异常,1.0,0,-1.0
162,candidate_strategy_v1,observation_only,spf,D,0.30329155255653373,3.3,0.0008621234365613351,0.0008621234365613351,85.0,赔率异常,1.0,1,2.3
163,candidate_strategy_v1,observation_only,spf,D,0.286180199809817,3.5,0.0016306993343595533,0.0016306993343595533,85.0,赔率异常,1.0,0,-1.0
164,candidate_strategy_v1,observation_only,spf,D,0.2807621535930449,3.6,0.010743752934961659,0.010743752934961659,85.0,赔率异常,1.0,0,-1.0
165,candidate_strategy_v1,observation_only,spf,D,0.2889597524568391,3.5,0.0113591335989367,0.0113591335989367,85.0,赔率异常,1.0,0,-1.0
166,candidate_strategy_v1,observation_only,spf,D,0.31361184871396164,3.2,0.003557915884677243,0.003557915884677243,85.0,赔率异常,1.0,0,-1.0
167,candidate_strategy_v1,observation_only,spf,D,0.29610453718879076,3.4,0.006755426441888535,0.006755426441888535,85.0,赔率异常,1.0,0,-1.0
168,candidate_strategy_v1,observation_only,spf,D,0.27960565448253055,3.6,0.006580356137110055,0.006580356137110055,85.0,机构分歧|赔率异常,1.0,0,-1.0
169,candidate_strategy_v1,observation_only,spf,D,0.2871397648011038,3.5,0.004989176803863238,0.004989176803863238,85.0,赔率异常,1.0,0,-1.0
170,candidate_strategy_v1,observation_only,spf,D,0.2864399047404741,3.5,0.002539666591659273,0.002539666591659273,85.0,赔率异常,1.0,0,-1.0
171,candidate_strategy_v1,observation_only,spf,D,0.2955723656954394,3.4,0.004946043364493891,0.004946043364493891,85.0,赔率异常,1.0,0,-1.0
172,candidate_strategy_v1,observation_only,spf,D,0.29513551535998084,3.4,0.0034607522239347155,0.0034607522239347155,85.0,赔率异常,1.0,1,2.4
173,candidate_strategy_v1,observation_only,spf,D,0.328306153774061,3.05,0.00133376901088611,0.00133376901088611,85.0,赔率异常,1.0,0,-1.0
174,candidate_strategy_v1,observation_only,spf,D,0.2795976361522414,3.6,0.006551490148069217,0.006551490148069217,85.0,赔率异常,1.0,0,-1.0
175,candidate_strategy_v1,observation_only,spf,D,0.3088217926030976,3.25,0.003670825960067292,0.003670825960067292,85.0,赔率异常,1.0,0,-1.0
176,candidate_strategy_v1,observation_only,spf,D,0.2849998615986833,3.6,0.02599950175525989,0.02599950175525989,85.0,赔率异常,1.0,0,-1.0
177,candidate_strategy_v1,observation_only,spf,D,0.2870697663675626,3.5,0.004744182286469112,0.004744182286469112,85.0,赔率异常,1.0,1,2.5
178,candidate_strategy_v1,observation_only,spf,D,0.2677836013086159,3.75,0.004188504907309598,0.004188504907309598,85.0,赔率异常,1.0,0,-1.0
179,candidate_strategy_v1,observation_only,spf,D,0.30434004643885315,3.3,0.004322153248215388,0.004322153248215388,85.0,赔率异常,1.0,0,-1.0
180,candidate_strategy_v1,observation_only,spf,D,0.29745897367063767,3.4,0.011360510480167951,0.011360510480167951,85.0,赔率异常,1.0,1,2.4
181,candidate_strategy_v1,observation_only,spf,D,0.3375934413740356,3.0,0.012780324122106723,0.012780324122106723,85.0,赔率异常,1.0,0,-1.0
182,candidate_strategy_v1,observation_only,spf,D,0.3091417966240574,3.25,0.004710839028186475,0.004710839028186475,85.0,赔率异常,1.0,1,2.25
183,candidate_strategy_v1,observation_only,spf,D,0.3419997523478176,3.0,0.02599925704345285,0.02599925704345285,85.0,赔率异常,1.0,0,-1.0
184,candidate_strategy_v1,observation_only,spf,D,0.30371262787600983,3.3,0.0022516719908323157,0.0022516719908323157,85.0,赔率异常,1.0,1,2.3
185,candidate_strategy_v1,observation_only,spf,D,0.26774800071349436,3.75,0.00405500267560388,0.00405500267560388,85.0,赔率异常,1.0,1,2.75
186,candidate_strategy_v1,observation_only,spf,D,0.2885808876251133,3.5,0.010033106687896476,0.010033106687896476,85.0,赔率异常,1.0,1,2.5
187,candidate_strategy_v1,observation_only,spf,D,0.28911093639137747,3.5,0.011888277369821232,0.011888277369821232,85.0,赔率异常,1.0,1,2.5
188,candidate_strategy_v1,observation_only,spf,D,0.3047381482465014,3.3,0.005635889213454703,0.005635889213454703,85.0,机构分歧|赔率异常,1.0,0,-1.0
189,candidate_strategy_v1,observation_only,spf,D,0.2881895316149902,3.5,0.008663360652465757,0.008663360652465757,85.0,赔率异常,1.0,1,2.5
190,candidate_strategy_v1,observation_only,spf,D,0.30836199738146386,3.25,0.002176491489757515,0.002176491489757515,85.0,机构分歧|赔率异常,1.0,0,-1.0
191,candidate_strategy_v1,observation_only,spf,D,0.287720206786384,3.5,0.007020723752344082,0.007020723752344082,85.0,赔率异常,1.0,0,-1.0
192,candidate_strategy_v1,observation_only,spf,D,0.3126950867160932,3.2,0.0006242774914981819,0.0006242774914981819,85.0,机构分歧|赔率异常,1.0,0,-1.0
193,candidate_strategy_v1,observation_only,spf,D,0.30394032738785864,3.3,0.003003080379933465,0.003003080379933465,85.0,赔率异常,1.0,0,-1.0
194,candidate_strategy_v1,observation_only,spf,D,0.30492709111468963,3.3,0.006259400678475746,0.006259400678475746,85.0,赔率异常,1.0,1,2.3
195,candidate_strategy_v1,observation_only,spf,D,0.2637555023313698,3.8,0.002270908859205223,0.002270908859205223,85.0,赔率异常,1.0,1,2.8
196,candidate_strategy_v1,observation_only,spf,D,0.2873326030935633,3.5,0.005664110827471536,0.005664110827471536,85.0,赔率异常,1.0,0,-1.0
197,candidate_strategy_v1,observation_only,spf,D,0.2980198264683285,3.4,0.013267409992316681,0.013267409992316681,85.0,赔率异常,1.0,0,-1.0
198,candidate_strategy_v1,observation_only,spf,D,0.27780857802074277,3.6,0.00011088087467392427,0.00011088087467392427,85.0,赔率异常,1.0,1,2.6
199,candidate_strategy_v1,observation_only,spf,D,0.28721162717665105,3.5,0.0052406951182786266,0.0052406951182786266,85.0,赔率异常,1.0,1,2.5
200,candidate_strategy_v1,observation_only,spf,D,0.2802168903254319,3.6,0.008780805171554773,0.008780805171554773,85.0,赔率异常,1.0,0,-1.0
